case_id,case_name,Facts,Issues,Analysis of the Law,,Petitioner's Arguments,Respondent's Arguments,Court's Reasoning,,,Conclusion
,,,,"sebi-wp-1590-21 24-8-24 final (2).odt ""CIRCULAR SEBI/HO/CFD/CMD/CIR/P/2016/116 October 26, 2016 To All the Recognized Stock Exchanges All Depositories Dear Sir/Madam, Sub: Freezing of Promoter and Promoter group Demat accounts for Non-compliance with certain provisions of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015
1. SEBI, vide Circular No. CIR/CFD/CMD/12/2015 dated November 30, 2015, had prescribed the uniform fine structure for non-compliance with certain provisions of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 (""Listing Regulations"") and Standard Operating Procedure for suspension and revocation of trading of specified securities.
2. It has been observed that some of the non-compliant listed entities have not paid the fines levied by the recognized stock exchange(s). In order to ensure effective enforcement, it has been decided in consultation with recognized stock exchanges to freeze the holdings of their promoters and promoter group entities in the manner specified below:
2.1. Where a non-compliant listed entity fails to pay fine levied as per the notice issued by the concerned recognized stock exchange in terms of paragraph 4 of Annexure I of the aforesaid circular, the concerned recognized stock exchange shall, upon expiry of the period indicated in the notice issued by it, freeze holdings in other securities in the demat accounts of promoter and promoter group to the extent of liability which shall be calculated on a quarterly basis.
2.2. In case of non-compliance for two consecutive periods, and failure to comply with the notice issued by the concerned recognized stock exchange as per paragraph 3 of Annexure II of the aforesaid circular, as per the current practice, the concerned recognized stock exchange shall forthwith intimate the depositories to freeze the entire shareholding of the promoter and promoter group in such listed entity. In addition to the freeze of shares in the non-compliant listed entity, the holdings in the demat accounts of promoter and promoter group in other securities shall also be frozen to
-------------------------",,,,"77. There can be no manner of doubt that in his demat account the petitioner was holding shares not only of Shrenuj, but also of other companies. Such shares as held by the petitioner in the demat account are certainly a property within the meaning and purview of Article 300A of the Constitution of India and thus, no action could have been taken to deprive the petitioner the benefits of his property without following the procedure in law. Thus, looked from any angle, even assuming that the powers to defreeze the demat account of the promoter, the same could not have been done in the manner as in the present case. The action is fully draconian which cannot be sustained in law.

",,,102. We may observe that all our reasons as set out in the aforesaid judgment more particularly on law become applicable in the facts of the present case.
,,,,"3. The depositories, shall furnish to the exchange upon receipt of request, all such information pertaining to holdings in the demat accounts of promoter and promoter group of such listed entities.

4. All provisions of Circular No. CIR/CFD/CMD/12/2015 dated November 30, 2015 shall continue to be applicable.",,,,"There is a consistent pattern of judicial thought that civil consequences entail infractions not merely of property or personal rights, but also of civil liberties, material deprivations, and non-pecuniary damages. Every order or proceeding which involves civil consequences or adversely affects a citizen should be in accordance with the principles of natural justice.""
",,,"103. In the light of the above discussion and on the reasoning as contained in our aforesaid judgment in the case of Dr. Pradeep Mehta (petitioner's father), we are inclined to unhesitantly allow this petition, sebi-wp-1590-21 24-8-24 final (2).odt ORDER
(i) The freezing of the demat account of the petitioner pursuant to the impugned communications dated 23 March, 2017 (Exhibit ""C""), 13 April, 2017(Exhibit 'D' & 'E') ,8 August 2018 (Exhibit 'L') is declared to be illegal and invalid;
(ii) The petitioner shall be free to deal with all his shares as held in the Demat accounts in question.
(iii) The SEBI/BSE/NSE are directed to jointly pay to the petitioner cost of Rs.50 lakhs within a period of two weeks from today.
(iv) The petition stands allowed in the aforesaid terms.however, considering the severity and the gross illegality of the actions we will be failing in our duty as a writ Court if we do not impose a substantive costs to be awarded in favour of the petitioner. We accordingly allow the writ petition by the following order:"
,,,,6. The Stock Exchanges are advised to bring the provisions of this circular to the notice of listed entities and also to disseminate the same on their websites.,,,,"80. In the context of the provisions of the Depositories Act, 1996, it also cannot be overlooked that a communication dated 23 March 2017 addressed by NSDL to SHCIL clearly records that the freezing of the petitioner's demat account is in pursuance of the SEBI circulars and based
 
",,,
,,,,"9. This circular is available on SEBI website at www.sebi.gov.in under the categories ""Legal Framework"" and ""Continuous Disclosure Requirements"".

Yours faithfully, Prasanta Mahapatra General Manager Compliance and Monitoring Division Corporation Finance Department prasantam@sebi.gov.in""
",,,,"81. However, what actually pains us is when the statutory complexion of what could be the respective powers to be exercised by the depositories, by the Stock Exchange(s) and ultimately by the SEBI are within the well defined spheres as envisaged by the respective statutes, which we have noted hereinabove, the SEBI as also the Stock Exchanges nonetheless have justified the actions being taken against the petitioner, when the same are not supported under the framework of any of laws as we have noted hereinabove. The petitioner who is a senior citizen for no fault of his, has severely suffered since the year 2017 as his entire shareholdings as maintained in the demat account could not be utilized by him which itself is a valuable property under Section 300A of the Constitution. The petitioner was illegally deprived of his property and on a completely
",,,
,,,,"67. Thus, even under the aforesaid Circular dated 7 September 2016 does not contemplate freezing of the demat account of the prmoter in the manner as resorted qua the petitioner. Further also the circular dated 26 October 2016, in paragraph 2.2, it is provided that at the first instance to freeze the entire shareholding of the ""promoter"" and the ""promoter group""
in the listed company which is held liable for non-compliance for two consecutive periods, and on a failure to comply with the notice issued by the concerned stock exchange as per paragraph 3 of Annexure II of Circular dated 30 November, 2015. It is significant that the second part of paragraph 2.2 of the Circular provides that in addition to the freezeing of shares in the non-compliant listed company, the holdings in the demat accounts of the promoter and promoter group in other securities shall be frozen to the extent of the liability which shall be calculated on a quarterly basis. In the present case, there is nothing placed on record that there is a semblance of compliance of paragraph 2.2 of the Circular even assuming that the same is applicable to the petitioner.",,,,"85. The petitioner is a senior citizen. Considering the nature of the illegality foisted on him, the petitioner has made a prayer (prayer clause F) for a direction to respondent nos. 3 and 4 to pay compensation of Rs.1 crore each, i.e., totaling to Rs.2 crores to be paid to the petitioner for freezing of his demat account illegally and for preventing him from
",,,
,,,,"69. This apart, insofar as applicability of the Circular 26 October 2016 is concerned, in our opinion, this circular cannot make a provision when it provides in paragraph 2.2 that in addition to the freeze of shares in the non-compliant listed entity, the holdings in the demat accounts of promoter and promoter group in other securities shall also be frozen to the extent of liability which shall be calculated on a quarterly basis. This would be contrary to the statutory requirements as the provisions we have noted hereinabove mandate and the basic requirement of Article 300A of the Constitution of India in the absence of any role of the promoter in the compliances as required to be discharged by a company.
",,,,"sebi-wp-1590-21 24-8-24 final (2).odt trading in shares, in view of our aforesaid discussion. We see a valid justification for the petitioner to make such prayer. The petitioner has certainly suffered such illegality and for a long period of six years, which has prevented him from operating his demat account and dealing with the shares held by him other than of Shrenuj. The petitioner has categorically averred that looking at his age, the funds were to be utilized by him for his retirement. We would not expect any person to suffer in such manner and that too in a high-handed and arbitrary manner as in the present case. As noted hereinabove, we are of the clear opinion that BSE/NSE as also SEBI has clearly failed to discharge their duties and to act in accordance with law so as to deprive the petitioner of his shares in the demat account held by him which certainly, in our opinion, is an infringement of petitioner's right guaranteed under Articles 14, 21 and 300A of the Constitution. Any casual approach to such infringement certainly would not be an acceptable approach and in fact would strengthen the hands of these authorities to repeat such illegalities. In fact if we fail to impose costs, it would amount to putting a premium on such illegality of these respondents. In these circumstances, although we are not inclined to grant an amount of Rs.2 crores as compensation / cost in favour of the petitioner, we are inclined to award an amount of Rs.30 lakhs to be paid to the petitioner by BSE/NSE/SEBI, which shall be jointly paid. This also for the reason that breach of constitutional rights as noted by us is certainly a serious affair
",,,
,,,,"sebi-wp-1590-21 24-8-24 final (2).odt which he would possess in respect of the shares held by him of companies other than the defaulting company of which he was a promoter. For any such action to be recognized under the Circular dated 26 October 2016, such power to freeze the demat account is required to be traced in the substantive law, namely, under the SEBI Act. We are not shown any specific power as conferred on the SEBI under the SEBI Act which would confer any authority to freeze the demat account of the promoter qua the shares held by him of a company other than of the defaulting company of which he is a promoter or any other office bearer. Even assuming that there is some power in the Regulations, the Regulations cannot override the substantive provisions of law and/or have any provision which itself is not recognized by the substantive law i.e. SEBI Act. The position in respect of a circular would be still worse, as the circular cannot provide anything which is not provided in the substantive law and the regulations.",,,,"87. At this stage, learned counsel for respondent no. 4 seeks stay of the aforesaid order as passed by us. Considering the glaring and gross facts of the case, we reject the prayer to stay our order.
",,,
,,,,"71. For all these reasons, to generally and/or casually freeze the securities of the promoters in a company other than the defaulter company, is an action in the teeth of the provisions of the SEBI Act as also illegal, arbitrary and unreasonable, violative of Articles 14, 21 and 300A of the Constitution. Circulars cannot have an overriding effect on the statutory provision under which it is issued and cannot be implemented in defiance of principles of natural justice.",,,,"91. It is the petitioner's case that in July 2018, the petitioner found that his demat account was frozen without any notice or intimation to him. On inquiring with HDFC Bank, the petitioner was handed over letters dated 10 July 2018 and 8 August 2018 addressed by respondent no. 5 - NSDL to HDFC Bank informing the Bank to freeze the demat account of the petitioner in which it was stated that in accordance with SEBI Circular No. SEBI/HO/CFD/DCR/CIR/P/2016/81 dated 7 September 2016 and based on the PANs of Promoters/Promoter Group of compulsorily delisted companies as received from BSE, the mentioned Beneficial Owner account has been 'Suspended for Debits' till further instructions in received from BSE/SEBI. Such communication is not different from the one issued to Dr. Pradeep Mehta, petitioner's father in the above writ petition.

",,,
,,,,"73. In the above context, we may also refer to the decision of the Supreme Court in Director of Enforecement Vs. M.C.T.M. Corporation Pvt. Ltd. & Ors.5, wherein it has been held that the expression 'penalty' is a word of wide significance. Sometimes, it means recovery of an amount as a penal measure even in civil proceedings. An exaction, which is not compensatory in character, is also termed as a 'penalty'.
",,,,"sebi-wp-1590-21 24-8-24 final (2).odt letters dated 9 August 2018 and 23 August 2018 to NSDL protesting against the freezing of his demat account. On 28 August 2018, NSDL replied to the advocate of the petitioner stating that NSDL vide letters dated 10 July 2018 and 8 August 2018 informed the Depository Participant - HDFC Bank Ltd. with copy of the same endorsed to the petitioner that the Beneficial Owner (BO) account of the petitioner has been ""Suspended for Debits"" in accordance with SEBI Circular No. SEBI/HO/CFD/DCR/CIR/P/2016/81 dated 7 September 2016 and based on Promoters/Promoter Group of compulsorily delisted companies i.e., Shrenuj received from BSE and NSE.

",,,
,,,,"74. As freezing of the petitioner's account for recovery of the amounts levied as penalty / fine is being resorted, the arguments as advanced on behalf of the petitioner of due adherence to the provisions of Section 15- A, 15-I and 15-J also become imperative. It cannot be overlooked that section 15A of the SEBI Act provides for a penalty for failure to furnish information, return, etc. and the amount of penalty it prescribes at different amounts as set out in clause (a), (b) and (c). However, for imposing of such penalty, the provisions of Section 15-I of the SEBI Act stand attracted for an adjudication by an adjudicating officer, by a procedure under Section 15-I and 15-J of the SEBI Act.",,,,"sebi-wp-1590-21 24-8-24 final (2).odt October 2019 stating that since the petitioner is a joint holder with Mr. Pradeep Mehta (promoter of Shrenuj and Company which was compulsorily delisted from the Exchange w.e.f. 4 July 2018), hence, his request for defreezing of his demat account cannot be accepted. On the said reply being received by the petitioner from BSE, the petitioner addressed a detailed letter dated 21 April 2021 to the SEBI stating that he was never a promoter or director in the delisted entity and the fact that freezing power itself is illegal and goes against the basic statute of Companies Act. The petitioner also addressed a letter dated 18 May 2021 to the respondent no. 1 pointing out that the arbitrary and illegal acts of the Securities Regulator and the service providers is also causing loss to the Government of India and diverting investments coming to India.
",,,
,,,,"sebi-wp-1590-21 24-8-24 final (2).odt actions prescribed under the impugned circulars and the SEBI (LODR) Regulations, for non-compliance. In this context, as noted above, learned Counsel for the petitioner has vehemently argued that there are gross irregularities of the SEBI when he argues it to be a kind of scam, that the SEBI is acting in breach of the provisions of section 15JA of the SEBI act, inasmuch as the amounts realised by way of penalties under the Act are not being credited to the Consolidated Fund of India and in fact such amounts are received as income of the SEBI on which GST and TDS is being deducted. If this be so, and if the provisions of the section 15JA of the SEBI Act mandate that the sums realised by way of penalties under the Act shall be credited to the Consolidated Fund of India, as to whether strict adherence to the same and to similar provisions in the other relevant statutes are being complied by the SEBI or not is to be looked into by the concerned Ministry of the Government of India considering the overarching revenue interest of the Central Government.",,,,"97. We have heard learned counsel for the parties. We have also perused the record on this petition. There is much substance in the contentions as urged on behalf of the petitioner that the impugned action in the present case crosses all boundaries of legitimacy, reasonableness, fairness, being the principles the statutory bodies like SEBI, BSE and NSE are required to adher being governed by statutes and regulations. We say so as in the present case ex-facie there were no reasons whatsoever, to freeze the petitioner's demat account which came to be freezed merely because the petitioner's father happens to be a second holder of his demat account. The petitioner in this case was never the promoter of Shrenuj. When the petition was filed, the petitioner was 39 years of age and when Shrenuj was promoted in the year 1989, the petitioner was 7 years of age, when his father Dr. Pradeep Mehta was styled as one of the promoters of Shrenuj.


",,,
,,,,"78. The action of freezing the petitioner's demat accounts is extremely coercive potentially attracting civil consequences. Such position in law is well settled. The Supreme Court in Mohinder Singh Gill & Anr. vs. The

-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt Chief Election Commissioner, New Delhi & Ors. 6 held that 'civil consequences' cover infraction of not merely property or personal rights but of civil liberties, material deprivations, and non-pecuniary damages. The relevant observations read thus:

""66. It was argued, based on rulings relating to natural jus- tice, that unless civil consequences ensued, hearing was not nec- essary. A civil right being adversely affected is a sine qua non for the invocation of the audi alteram partem rule. This submission was supported by observations in Ram Gopal [Ram Gopal Chaturvedi v. State of M.P., (1969) 2 SCC 240 : (1970) 1 SCR 472], Col. Sinha [Union of India v. Col. J.N. Sinha, (1970) 2 SCC 458 : (1971) 1 SCR 791] . Of course, we agree that if only spiritual censure is the penalty, temporal laws may not take cog- nizance of such consequences since human law operates in the material field although its vitality vicariously depends on its morality. But what is a civil consequence, let us ask ourselves, by- passing verbal booby-traps? 'Civil consequences' undoubtedly cover infraction of not merely property or personal rights but of civil liberties, material deprivations and non-pecuniary damages. In its comprehensive connotation, everything that affects a citi- zen in his civil life inflicts a civil consequence. ""Civil"" is defined by Black (Law Dictionary, 4th Edn.) at p. 311:
""Ordinarily, pertaining or appropriate to a member of a civitas of free political community; natural or proper to a citizen. Also, relating to the community, or to the policy and govern- ment of the citizens and subjects of a state.
The word is derived from the Latin civilis, a citizen .... In law, it has various significations.
*** 'Civil Rights' are such as belong to every citizen of the State or country, or, in a wider sense, to all its inhabitants, and are not connected with the organisation or administration of Govern- ment. They include the rights of property, marriage, protec- tion by the laws, freedom of contract, trial by jury etc.... Or, as otherwise defined, civil rights are rights appertaining to a per- son in virtue of his citizenship in a State or community. Rights capable of being enforced or redressed in a civil action. Also a term applied to certain rights secured to citizens of the United States by the thirteenth and fourteenth amendments to the Constitution, and by various acts of Congress made in pur- suance thereof.
6 AIR 1978 SC 851.",,,,"100. In our opinion, the present case is more gross and is a classic example of high-handed action and a reckless action to freeze the demat account of the petitioner. There is patent non-application of mind by any of these authorities, who are statutorily governed in resorting to take such drastic action. This apart, even the elementary principles of natural justice of a fair opportunity of calling upon the petitioner to show cause, a hearing and appropriate order to be passed have been thrown to the winds. This is certainly not the manner or method in which the rule of law would mandate these respondents to act.

",,,
,,,,"sebi-wp-1590-21 24-8-24 final (2).odt (p. 1487, Black's Legal Dictionary) The interest of a candidate at an election to Parliament regulated by the Constitution and the laws comes within this gravitational orbit. The most valuable right in a democratic polity is the ""little man's"" little pencil-marking, assenting or dissenting, called his vote. A democratic right, if denied, inflicts civil consequences. Likewise, the little man's right, in a representative system of Gov- ernment, to rise to Prime Ministership or Presidentship by use of the right to be candidate, cannot be wished away by calling it of no civil moment. It civics mean anything to a self-governing citi- zenry, if participatory democracy is not to be scuttled by the law, we shall not be captivated by catchwords. The straight forward conclusion is that every Indian has a right to elect and be elected and this is a constitutional as distinguished from a common law right and is entitled to cognizance by courts subject to statutory regulation. We may also notice the further refinement urged that a right accrues to a candidate only when he is declared returned and until then it is incipient, inchoate and intangible for legal as- sertion -- in the twilight zone of expectancy, as it were. This too, in our view, is logicid sophistry. Our system of ""ordered"" rights cannot disclaim cognizance of orderly processes as the right means to a right end. Our jurisprudence is not so jejune as to ig- nore the concern with means as with the end, with the journey as with the destination. Every candidate, to put it cryptically, has an interest or right to fair and free and legally run election. To draw lots and decide who wins, if announced as the electoral method- ology, affects his right, apart from his luckless rejection at the end. A vested interest in the prescribed process is a processual right, actionable if breached, the Constitution permitting. What is inchoate, viewed from the end, may be complete, viewed mid- stream. It is a subtle fallacy to confuse between the two. Victory is still an expectation; qua mado is a right to the statutory proce- dure. The appellant has a right to have the election conducted not according to humour or hubris but according to law and jus- tice. And so natural justice cannot be stumped out on this score. In the region of public law locus standi and person aggrieved, right and interest have a broader import. But, in the present case, the Election Commission contends that a hearing has been given although the appellant retorts that a vacuous meeting where nothing was disclosed and he was summarily told off would be strange electoral justice. We express no opinion on the factum or adequacy of the hearing but hold that where a candidate has reached the end of the battle and the whole poll is upset, he has a right to notice and to be heard, the quantum and quality being conditioned by the concatenation of circumstances.""",,,,"101. The petitioner has suffered at the hands of respondents for these many years. He has lost valuable trading opportunities and to deal with his property as entitled to him under Article 300A of the Constitution of India. It is not only painful but extremely shocking that such actions can nonetheless be defended by the respondents considering the gross facts
",,,
,,,,"79. Referring to the aforesaid decision, the Supreme Court in State

-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt Bank of India & Ors. vs. Rajesh Agarwal & Ors.7 on challenge to Master Directions on Fraud issued by Reserve Bank of India, the Supreme Court observed thus:

""32. .........It is now a settled principle of law that the rule of audi alteram partem applies to administrative actions, apart from judicial and quasi-judicial functions. It is also a settled position in administrative law that it is mandatory to provide for an opportunity of being heard when an administrative action results in civil consequences to a person or entity.
33. In State of Orissa v. Dr (Miss) Binapani Dei, a two-judge bench of this Court held that every authority which has the power to take punitive or damaging action has a duty to give a reasonable opportunity to be heard. This Court further held that an administrative action which involves civil consequences must be made consistent with the rules of natural justice:
""9. [...] The rule that a party to whose prejudice an order is intended to be passed is entitled to a hearing applies alike to judicial tribunals and bodies of persons invested with authority to adjudicate upon matters involving civil consequences. It is one of the fundamental rules of our constitutional set-up that every citizen is protected against exercise of arbitrary authority by the State or its officers. Duty to act judicially would therefore arise from the very nature of the function intended to be performed: it need not be shown to be super-added. If there is power to decide and determine to the prejudice of a person, duty to act judicially is implicit in the exercise of such power. If the essentials of justice be ignored and an order to the prejudice of a person is made, the order is a nullity. That is a basic concept of the rule of law and importance thereof transcends the significance of a decision in any particular case.""
34. In Maneka Gandhi v. Union of India, a seven-judge bench of this court held that any person prejudicially affected by a decision of the authority entailing civil consequences must be given an opportunity of being heard. This has been reiterated in a catena of decisions of this Court. In view of the settled position of law, the next question that arises before us is the scope and definition of the phrase 'civil consequences'.

35. In Mohinder Singh Gill v. Chief Election Commissioner, New Delhi, a Constitution Bench of this Court held that 'civil consequences' cover infraction of not merely property or personal 7 (2023) 6 SCC 1.",,,,"sebi-wp-1590-21 24-8-24 final (2).odt and circumstances of the case which would stare at them. There is not a semblance of reason for such action to be taken against the petitioner. We may also observe that the actions and cundect of the BSE / NSE and SEBI as the law mandates is to protect the interest of the investors. In the present case these statutory bodies have totally acted contratry to such norms. In fact the impugned actions of these respondents when taken against a person like the petitioner is also likely to shake the confidence of investors who are non residents Indian. This is certainly not what can be expected from the conduct of these entities. The duty to safeguard the investor's sentiments and confidence is paramount which stand breached in every possible manner in the present case.

",,,
,,,,"-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt rights but of civil liberties, material deprivations, and non- pecuniary damages. In that case, the Court held that denial of a democratic right to cast a vote inflicts civil consequences. In D K Yadav v. J M A Industries, a three-judge bench of this Court observed that ""everything that affects a citizen in his civil life inflicts a civil consequence.""

36. In Canara Bank v. V K Awasthy, a two-judge bench of this Court succinctly summarized the history, scope, and application of the principles of natural justice to administrative actions involving civil consequences in the following terms:

""14. Concept of natural justice has undergone a great deal of change in recent years. Rules of natural justice are not rules embodied always expressly in a statute or in rules framed thereunder. They may be implied from the nature of the duty to be performed under a statute. What particular rule of natural justice should be implied and what its context should be in a given case must depend to a great extent on the fact and circumstances of that case, the framework of the statute under which the enquiry is held. The old distinction between a judicial act and an administrative act has withered away. Even an administrative order which involves civil consequences must be consistent with the rules of natural justice. The expression ""civil consequences"" encompasses infraction of not merely property or personal rights but of civil liberties, material deprivations and non-pecuniary damages. In its wide umbrella comes everything that affects a citizen in his civil life.""",,,,,,,
,,,,"sebi-wp-1590-21 24-8-24 final (2).odt on the e-mail received from the Stock Exchanges (BSE and NSE) dated 10 January 2017 and as marked to the Beneficial Owner (BO) account, based on listing of company of promoters / promoters group on the non- compliance company Shrenuj as provided by the Stock Exchange. Thus, the depository is taking an action at the behest of the Stock Exchanges and in compliance of the requirements of the SEBI under the provisions of the SEBI Act and SEBI (LODR) Regulations. The provisions of Section 19 of the Depositories Act confers power on the SEBI to give directions in certain cases. Section 19F provides for penalty for failure to comply with directions issued by Board under Section 19 of the Act. Section 19G provides for penalty for contravention where no separate penalty has been provided. However, what is significant is that for a penalty to be imposed under the provisions of Section 19F and 19G, a power to adjudicate under Section 19H has been conferred on the Adjudicating Officer as provided for under Section 19H of the Depositories Act. Section 19-I provides for factors to be taken into account while adjudging quantum of penalty. Section 19-IB provides for recovery of amounts if a person fails to pay penalty imposed under the Act or fails to comply with the directions of disgorgement order issued under Section 19 or fails to pay any fees due to the Board and the manner the same can be executed. Section 19J provides for crediting sums realised by way of penalties to Consolidated Fund of India. All these provisions appear to have been completely overlooked in

-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt resorting to the impugned action as taken against the petitioner. Thus, even recovery of the amount from the petitioner's demat account which is held with the depositories would certainly be governed by the provisions of the Depositories Act, 1996 and even if any fine, penalty, is to be recovered, it would be required to be recovered strictly adhering to the provisions of law which we have noted hereinabove. The recovery can also be in terms of what has been provided under Section 19F which necessarily attracts the provisions of Section 19H in regard to adjudication. Thus, looked from any angle, the impugned action of freezing the petitioner's demat account is grossly illegal, arbitrary and unconstitutional.",,,,,,,
,,,,"82. Having noted the provisions of SEBI Act, SCR Act, SEBI (LODR) Regulations, 2015, the Depositories Act, 1996 and the SEBI (Delisting of Equity Shares) Regulations, 2009, the following consequences of applicability of the various provisions would be evident:

i) That the SCR Act, 1956 is enacted to prevent undesirable transactions in securities by regulating the business of dealing therein and by providing for matters connected therewith. It inter alia makes provisions for recognition of stock exchanges, contracts and options in securities, listing of securities and for penalties and procedure. Section 9 which provides for power of recognized stock exchanges to make bye-laws, is relied on behalf of the respondents and more particularly Section 9(2)(o), which provides that the stock exchange would be empowered to make bye-laws in regard to levy and recovery of fees, fines and penalties. The power to levy
-------------------------
sebi-wp-1590-21 24-8-24 final (2).odt penalty is required to be exercised by following the due process of law which is explicit in the provisions of section 23-I, namely, to adjudicate issues under section 23-A to 23-H. It is difficult to accept that such powers as conferred under SCR Act can at all be found to be relevant in the context of the present proceedings authorizing the Stock Exchanges to freeze the demat account of the petitioner on the ground that he was the promoter.

(ii) In the context of SEBI Act as noted above, we do not find that any of the powers read with the regulations, which we have discussed hereinabove confer any jurisdiction on the Stock Exchanges to recover any amounts by way of penalty or fine from the promoter without examining as to whether the person becomes liable to discharge any of the obligations of a promoter in a given case and more particularly, in the light of the provisions of Section 92 of the Companies Act providing for annual returns and appropriate disclosure in respect of the existing and recognized promoters the fact situation postulates.",,,,,,,
,,,,"iv) Insofar as the SEBI (LODR) Regulation and Circular framed thereunder as observed above, the same cannot be stretched to an extent to take such draconian action of freezing the demat accounts of the petitioner and more particularly to recover any peanlty/fine payable by the company (Shrenuj). A determination of the petitioner's role whether in the real sense the law would mandate

-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt he continues to be a promoter, was required to be determined.

(v) In the context of the Depositories Act, 1996 as observed by us in paragraph 80, none of the provisions would support the contentions of the respondents that a power is conferred to freeze the demat accounts of the petitioner, so as to recover the amounts due and payable by the defaulter company (Shrenuj). A lawful procedure to impose any penalty and/or fine is certainly not adhered by the respondent even assuming that what is sought to be recovered was a permissible penalty.",,,,,,,
,,,,"98. The petitioner is a Non-Resident Indian (NRI) based in Singapore. His wife is also based in Singapore. The petitioner has invested in shares and securities of Indian Companies, and accordingly, the petitioner has held the demat account in question with his father as a second holder to be so included for logistic purpose.",,,,,,,
,,,,"99. On the face of it, it is evident that the petitioner in no manner

-------------------------


sebi-wp-1590-21 24-8-24 final (2).odt whatsoever much less in the capacity as promoter was concerned and connected with Shrenuj. Thus, he could not be held liable for any default of Shrenuj much less that he could face any action of freezing of his demat account for the default of Shrenuj, merely for the reason his father Dr. Pradeep Mehta happened to be the second holder in his demat account, as detected by the BSE/NSE so as to consider the petitioner's demat account to be relevant for any penalty and fine payable by Shrenuj.",,,,,,,
