case_id,case_name,Facts,Issues,Analysis of the Law,Unnamed: 5,Petitioner's Arguments,Respondent's Arguments,Court's Reasoning,Unnamed: 9,Conclusion,Unnamed: 10
,,,,"56. Mr. Kadam has placed reliance on the relevant definitions under the Copyright Act namely Section 2(d) which defines Author; Section 2(f) which defines Cinematograph film; Section 2(ff) which defines Communication to the public; Section 2(j) which defines Exclusive licence; Section 2(uu) which defines Producer; Section 2(xx) which defines sound recording; Section 2(y) which defines work and Section 2(ffd) which defines Copyright society. He has also referred to relevant provisions of the Act which includes Sections 13, 14, 17, 18 ,19, 30 and 33.",,,,,,,
,,,,"58. He has further referred to Section 61 of the Act which provides Owner of copyright to be party to the proceeding. He has submitted that in the present case, the infringement by failure to obtain license by the various Defendants is not only in relation to works of which the Plaintiff/PPL is an exclusive licensee but also in respect of works of which it is itself an varsha 39 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc owner. Thus and for that reason, Section 61(1) would not apply.",,,,,,,
,,,,"60. Mr. Kadam has submitted that upon reading of the aforementioned provisions of the Act, when an owner is monetizing copyright in any work, the owner is doing so for gain or for profit. Regardless of the scale at which such activity resulting in monetization of copyright takes place, it is a commercial or a business activity as it is being done for gain. Any restriction or curtailment of exercise of ownership rights whether by self- exploitation; assignment; license, depending upon scale or motive/manner of exercise or regularity of exercise of such ownership rights would be reading into the Act facets or nuances relating to the primary right of ownership of a copyright, which the Act does not in its language provide for at all.",,,,,,,
,,,,"61. Mr. Kadam has placed reliance upon provisions of the Bern Convention (1896), to which India is a signatory and particularly Article 2 (6), which provides that the protection of works mentioned in this Article shall shall operate for the benefit of the author and his successors in title. Article 5 (1), which provides varsha 40 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc that Authors shall enjoy, in respect of works for which they are protected under this Convention, in countries of the Union other than the country of origin, the rights which their respective laws do now or may hereafter grant to their nationals, as well as the rights specially granted by this Convention. Further, under Article 5(2) it is provided that, the enjoyment and the exercise of these rights shall not be subject to any formality; such enjoyment and such exercise shall be independent of the existence of protection in the country of origin of the work. Further Article 9, which is Right of Reproduction, provides that Authors of literary and artistic works protected by this Convention shall have the exclusive right of authorizing the reproduction of these works, in any manner or form. It shall be a matter for the legislation in the countries of the Union to permit the reproduction of such works in certain special cases, provided that such reproduction does not conflict with a normal exploitation of the work and does not unreasonably prejudice the legitimate interests of the author.",,,,,,,
,,,,"63. Mr. Kadam, has supported the submissions of Mr. Kambata as to the interpretation of Chapter VII of the Act brought by the 1994 as varsha 41 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc well as 2012 Amendments, by which the second proviso to Section 33(1) was added. He has submitted that the embargo or prohibition on a person or association of persons commencing or carrying on the business of issuing or granting licenses in respect of any work in which copyright subsists other than by registering such association of persons as a copyright society [Section 33(1) r/w Section 33(3)] has no application to the issuing or granting of licenses in respect of any work by an owner or by an exclusive licensee who by the terms of the exclusive license is entitled to issue further licenses in respect of the work. This interpretation is supported by the provisions of the Act pertaining to ownership analysed. It is also in consonance with the first proviso to Section 33(1). This proviso clarifies that an owner of copyright shall in his individual capacity, continue to have the right to grant licenses in respect of his own works.",,,,,,,
,,,,64. Mr. Kadam has submitted that there is nothing in the language of Chapter VII or the relevant rules appearing in Chapter XI of the Copyright Rules 2013 that mandates or forces owners who may in a given case own copyright in a large repertoire of sound recordings to become members of a registered copyright society. He has also placed reliance in this context on Section 34(1)(b) of the Act.,,,,,,,
,,,,65. Mr. Kadam has further submitted that the expression in his individual capacity appearing in the first proviso to Section 33 has nothing to do with whether the owner of copyright in a sound recording is granting licenses on a small or large scale so as to constitute such activity as a business. The expression 'capacity' when used in the varsha 42 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc context of a particular status applies where a person enjoys two statuses simultaneously. He has supported this interpretation placed by Mr. Khambata on the first proviso to Section 33 (1) in this context.,,,,,,,
,,,,"66. Mr. Kadam has submitted that the decision of the Madras High Court in ""Novex Communications Pvt. Ltd. Vs. DXC Technology Pvt. Ltd"" (supra) has overlooked Section 30 which only speaks of the owner's rights to license and does not talk about any capacity or does not talk about whether the activity is done at an individual level or as a business. He has submitted that the Madras High Court has completely lost sight of the phrase individual capacity appearing in the first proviso to Section 33(1), applies in the context of that proviso where the owner of a copyright in a work becomes a member of a Registered Copyright Society for that category of works. This subjectivity of 'individual capacity' transcending into the realm of business is a notion introduced by the judgment and brings about a whole world of uncertainty and ambiguity in the application of the provisions of the Act in paragraph 55. Further, the Madras High Court has concluded that the entity like the plaintiff therein which is involved in the business of issuing licenses falls within the net of the second proviso of Section 33 (1). There is no reasoning as to how the granting of licenses in respect of sound recordings which is not covered by the second proviso of Section 33(1) would take the activity of the Plaintiff within that second proviso.",,,,,,,
,,,,"69. Dr. Tulzapurkar has submitted that since there is no ambiguity in the language of the section, the first rule of statutory interpretation, i.e., of literal interpretation, would demand that the word ""persons"" be given its natural grammatical meaning without any artificial limitations or restrictions.",,,,,,,
,,,,"70. Dr. Tulzapurkar has submitted that Section 33(1) prohibits ""any person or association of persons"" from carrying on the ""business of issuing or granting licenses"" without registration as a copyright society. PPL and Novex as aforementioned are covered by Section 33(1) as they are clearly ""persons"" as well as carry on a commercial activity that qualifies as ""business"".",,,,,,,
,,,,"71. Dr. Tulzapurkar has submitted that Section 30 and Section 33(1) operate in separate fields and do not conflict which each other. While Section 30 deals with the general right of an owner to grant a license, Section 33(1) regulates the business of licensing. The law is plain and clear - an owner has the right to issue a license. When his licensing activity enters the realm of ""business"", he is subject to statutory regulation under Chapter VII and must carry on his activities either by seeking registration as a copyright society or by doing it through a registered copyright society. Assuming without admitting there is a conflict, even then Section 33(1) is a special provision and must prevail over the general one. Moreover, the object of copyright law and legislative intent behind Chapter VII is to balance the rights of owners and public interest by varsha 45 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc protecting the rights of users. This would mean owners too are covered by Section 33(1).",,,,,,,
,,,,"72. Dr. Tulzapurkar has submitted that Section 33(1) does not efface or make Section 30 redundant. An owner's right to monetise his copyright through licensing is not taken away at all, it is merely regulated by Section 33(1). Such regulation is perfectly permissible when done by way of statute. In fact, Section 34(3) expressly preserves the right of licensing available under Section 30.",,,,,,,
,,,,"73. Dr. Tulzapurkar has submitted that the First Proviso to Section 33(1) does not come to the aid of PPL and Novex because (I) it applies only to members of a Copyright Society; (ii) Assuming the First Proviso applies to non members, even then PPL and Novex are not covered as they do not issue licenses in their ""individual capacity"" or in respect of their ""own works"".",,,,,,,
,,,,"75. Dr. Tulzapurkar has further submitted that the Second Proviso to Section 33(1) has no relevance to the present matter. It was brought in by way of amendment in 2012 to correspond to the changes made to Section 18 to protect owners of underlying works. It does not impact Section 33(1), which has been on the statute books since 1994.",,,,,,,
,,,,"76. Dr. Tulzapurkar has submitted that the Division Bench of this Court in PPL vs. Avion Hospitality Pvt. Ltd.10, disposed off the appeals against a set of ad-interim orders by clarifying that the Defendant may raise ""appropriate contentions including raising the issue of maintainability of the Suits at the instance of the present Plaintiff.""",,,,,,,
,,,,"78. Mr. Tulzapurkar has submitted that all the ad-interim orders obtained by PPL and Novex in the matters under consideration were limited to directing the Defendants to deposit the license fees in court if they wanted to play the sound recordings or directing the Defendants to take a license from PPL and Novex on a without prejudice basis. Neither did PPL/Novex seek nor did the Court grant them an injunction simplicitor.
",,,,,,,
,,,,"79. Dr. Tulzapurkar has submitted that argument of PPL and Novex runs contrary to the well-settled principle of ex turpi causa non oritur actio or ex dolo malo non oritur actio i.e., a Plaintiff cannot find his cause of action on an illegal act or amounts to transgression of a positive law. This principle finds its modern origins in the classic passage of Lord Mansfield C.J. in the 1775 case of Holman vs. Johnson: He has submitted that this passage has been cited with approval by the Supreme Court and High Courts in several cases where the plaintiff's cause of action emanated out of an illegal act.",,,,,,,
,,,,"80. Dr. Tulzapurkar has submitted that the Supreme Court in ""Narayanamma & Anr. Vs. Govindappa & Ors"".11 has recently reviewed the entire law on ex turpi causa, including Lord Mansfield's seminal passage, and reiterated that if the plaintiff's cause of action 11 [(2019) 19 SCC 42] varsha 48 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc is based on an illegality, it will not grant any relief to the plaintiff, even if the defendant is guilty.",,,,,,,
,,,,"81. Dr. Tulzapurkar has submitted that the decision relied upon by PPL and Novex namely the English Supreme Court's decision in ""Patel v Mirza""12 to counter the above does little to assist the Plaintiffs. The said decision actually supports the Defendants' case as it makes clear that ex turpi causa is indeed a valid defence and that courts must examine the underlying purpose of the prohibition and the public policy involved.",,,,,,,
,,,,"82. Dr. Tulzapurkar has submitted that the Plaintiffs reliance on Gurumukh Singh v Amar Singh [(1991) 3 SCC 79] is also misplaced. The said case dealt with an allegation that the object of the contract was harmful to public policy. There was no contravention of any law involved. In the instant case, however, the Plaintiff's actions are in direct contravention of Section 33(1) of the Copyright Act. As per the law laid by the Supreme Court, it would be impermissible to grant relief to such a plaintiff.
",,,,,,,
,,,,"85. Dr. Tulzapurkar has submitted that similar is the case with Novex namely that they carrying on business of issuing / granting licenses. This is apparent from Clauses 1, 4 and 11 of the Memorandum of Association of Novex which makes it clear that the varsha 50 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc main object of Novex is to carry on business of granting licenses. Further, Novex's Annual Report for the year ended 31 st March, 2022 which clearly shows that Novex's principal activity is granting public performance licenses. Further, Novex's website while referring to public performance rights states ""Novex is engaged in the business of giving public performance rights in sound recordings"". Further, a holistic reading of the purported Assignment Deed dated August 11, 2015 executed with Zee Entertainment Enterprises Ltd. clearly shows that Novex is in fact engaged in the business of issuing licenses.",,,,,,,
,,,,"86. Dr. Tulzapurkar has thereafter, referred to the definition of ""copyright business"" in Rule 2(c) of the Copyright Rules, 2013 namely ""business of issuing or granting licence in respect of any class of works in which copyright or any other right conferred by the Act subsists, and includes the functions referred to in sub-section (3) of section 34"". He has submitted that the legislature has consciously chosen to define this term widely and has not excluded the business of licensing carried out by owners.",,,,,,,
,,,,"87. Dr. Tulzapurkar has placed reliance upon the decisions of Courts on what is meant by ""business"" or ""carrying on business"", which are as under:-

i) 'Smith vs. Anderson' 13
ii) 'Bata Shoe Co. Ltd. vs. Union of India''14 13 [1879 Vol. XV Ch. Div. (CA) 247] 14 [AIR 1954 Bom. 129] varsha 51 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc
iii)'Sri Gajalakshmi Ginning Factory Ltd. vs. Commissioner of Income Tax' 15
iv) 'Barendra Prasad Ray vs. Income Tax Officer' 16
v) 'State of Tamil Nadu vs. Board of Trustees of the Port of Madras' 17.
vi) 'State of Andhra Pradesh vs. H. Bakhi' 18.

vii) 'State of Gujarat vs. M/s. Raipur Manufacturing Co. Ltd.' 19.",,,,,,,
,,,,"88. Dr. Tulzapurkar has submitted that PPL and Novex have relied upon ""S Mohan Lal v R Kondiah 20"" and ""P K Kesavan Nair v C K Babu Naidu 21"" to contend that the word ""business"" should be interpreted as per context. However, reference to these cases does not assist PPL and Novex in any manner. There is no justifiable reason given by PPL and Novex to discard the definition of 'business' in the Copyright Rules namely Rule 2(c) of the Copyright Rules, 2013. Further, PPL and Novex have not denied that they indeed carry on business. Their own documents as aforesaid clearly show that PPL and Novex are in the business of licensing.",,,,,,,
,,,,89. Dr. Tulzapurkar has submitted that PPL and Novex have based their argument on an incorrect assumption that an assignment from the original owner takes them out of the regulatory ambit of 15 [AIR 1953 Mad 343] 16 [(1981) 2 SCC 693] 17 [(1999) 4 SCC 630] 18 [AIR 1965 SC 531] 19 [AIR 1967 SC 1066] 20 [(1979) 2 SCC 616] 21 [1953 SCC OnLine Mad 368] varsha 52 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc Chapter VII of the Copyright Act and Chapter XI of the Copyright Rules.,,,,,,,
,,,,"91. Dr. Tulzapurkar has submitted that there is nothing to suggest that this ""contract"" or ""agreement"" referred to in Section 34 and Rule 54 excludes an agreement of assignment. The trigger for regulation is the nature of the activity, i.e., business of licensing, and not the mode of acquisition of the right to carry on such business.",,,,,,,
,,,,"92. Dr. Tulzapurkar has submitted that there is no conflict between Section 30 and Section 33(1). Alternatively, assuming without conceding there is any conflict, even then Section 33(1) would prevail over Section 30. Section 30 is a general provision that deals with an owner's general right to license his copyright. Section 33, on the other hand, is part of Chapter VII of the Copyright Act, which is a special provision and self-contained chapter that elaborately governs the business of granting and issuing licenses. Moreover, the present Section 33 is a latter provision that was brought in by way of an amendment in 1994. Thus, the legislature had notice of Section 30 when it enacted Section 33(1).
",,,,,,,
,,,,"93. Dr. Tulzapurkar has submitted that it is well settled law that the general law must yield to the special law. The Supreme Court in a catena of cases has reiterated this well settled Latin maxim ""generalia specialibus non derogant"". In ""Commercial Tax Officer, Rajasthan vs. Binani Cements Ltd. & Anr."" 22, the Supreme Court exhaustively reviewed the judicial precedents on the subject and noted that this principle is applicable not only amongst two statutes but also finds utility in resolving a conflict between a general and specific provision of the same statute. Further, it is also an accepted principle of interpretation that in case of conflict between two provisions of the same statute, the latter provision will prevail over the former. See K.M. Nanavati vs The State of Bombay 23 and In Re: W. G. Ambekar24. He has further submitted that both above principles are squarely applicable to the facts of the present case and would mandate that Section 33(1) must prevail over Section 30.",,,,,,,
,,,,"94. Dr. Tulzapurkar has submitted that it is now well accepted that copyright law is not designed for protecting the interest of owners alone. It is intended to balance the rights of the owners with the rights of end users. He has placed reliance upon Article 27 of the Universal Declaration of Human Rights where this principle finds its origins. This is also noted by P. Narayanan in Law of Copyright and Industrial Designs 4th Edition where Article 27 is reproduced. Further, ""Copinger and Skone & James on Copyright"" 25 22 [(2014) 8 SCC 319] 23 [AIR 1961 SC 112] 24 [MANU/MH/0148/1952] 25 (15th Edition) varsha 54 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc explains the rationale for copyright societies (also known as collecting societies). The author notes that collecting societies benefit rights owners and users alike, and in principle operates for the benefit of the public.",,,,,,,
,,,,"95. Dr. Tulzapurkar has submitted that India is not alone in regulating the business of collective administration of copyright. Among common law countries, the UK has adopted the 'Collective Management of Copyright (EU Directive) Regulations 2016.' Singapore too has an entire chapter on the subject in Part 9 of its Copyright Act, 2021. Thus, given the strong public interest involved in the collective administration of copyrights, governmental regulation of such business is commonplace across jurisdictions.",,,,,,,
,,,,"97. Dr. Tulzapurkar has placed reliance upon the decision of the Supreme Court in ""Entertainment Network (India) Ltd. vs. Super Cassette Industries Ltd"". 27 wherein the Supreme Court has noted that the provisions of Chapter VII of the Copyright Act serve the dual objective of having copyright societies, i.e., to maintain a balance between the protection of owners' rights and interest of the public to have access to the works.",,,,,,,
,,,,"98. Dr. Tulzapurkar has submitted that the expansive words of Section 33(1), i.e., ""no person or association of persons shall commence or carry on the business of issuing or granting licenses""

clearly underline the intention of the legislature that business of 26 [(1984) 2 SCC 183] 27 [(2008) 13 SCC 30] varsha 56 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc issuing licenses can only be undertaken by a registered copyright society. These words are required to be construed in the context of its use in the Copyright Act and Rules which require that: (i) such business can be carried on only by a registered copyright society; (ii) such society is regulated by the Government; and (iii) there is only one society for one category of work. Thus, allowing PPL to carry on the business of licensing without registration would result in escaping the intended regulation and would be contrary to the scheme and object of Chapter VII of the Copyright Act.",,,,,,,
,,,,"99. Dr. Tulzapurkar has submitted that if the Plaintiff's argument is accepted and an assignee/owner is permitted to carry on the business of issuing licenses without registration, then Section 33 itself would be rendered redundant and nugatory. This would be contrary to the clear intention of the legislature to regulate the business of licensing, even if the business is carried out by an assignee/owner. Since only an owner (which term includes an assignee) can issue licenses, it is quite obvious that the intent of Section 33(1) was to regulate owners of copyright who can potentially carry on the business of licensing. Thus, there is no logical basis in the Plaintiffs' argument that Section 33(1) applies to persons other than owners. He has submitted that the law intends that there must be a single copyright society for one class of work to ensure a single window for end-users.",,,,,,,
,,,,"100. Dr. Tulzapurkar has submitted that the law clearly seeks to address a mischief, i.e., of a person carrying on the business of varsha 57 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc licensing without regulation. He has submitted that the statute must be interpreted to avoid this mischief by following the Heydon's Rule or mischief rule. He has referred to the following cases on this point:

a. The Supreme Court in ""Godawat Pan Masala Products (I) Pvt. Ltd. & Anr. vs. Union of India & Ors"" 28 it was held that for construing a statute, all sections will have to be read together to ascertain what is the mischief sought to be avoided.
b. In ""Ameer Trading Corporation Ltd. vs. Shapoorji Data Processing Ltd"".29 the Supreme Court reiterated that the Heydon's Rule or Mischief Rule must be applied to suppress the mischief that was intended to be remedied, especially when Parliament has consciously made an amendment to the law.

c. In ""S. Mohan Lal vs. R. Kondiah"" 30 it was held that the expressions used in the Act must take their colour from the context in which they appear.

d. In ""Badshah vs. Urmila Badshah Godse""31 the Supreme Court relied on the Heydon Rule to hold that courts must avoid a construction that ""would reduce the legislation to futility and should accept the bolder construction based on the view that Parliament would legislate only for the purpose of bringing an effective result"".",,,,,,,
,,,,"101. In ""District Mining Officer vs. Tata Iron & Steel Co. & Anr.""32 the Supreme Court explained that legislation is primarily directed to the problems before the legislature and to cover similar problems arising in future. Thus, the legislative intent is to be derived by considering the words in the enactment "" in light of any discernable purpose or object which comprehends the mischief and its remedy to which the enactment is directed"".

",,,,,,,
,,,,"102. Dr. Tulzapurkar has submitted that Chapter VII of the Copyright Act requires that the business of licensing be carried on in a particular manner. The Plaintiffs cannot be permitted to circumvent the entire regulatory regime and carry on the business of licensing in a manner other than what is prescribed by law. This would go against the well accepted rule laid down in ""Taylor vs Taylor Taylor"" 33 that if the law requires something to be done in a particular manner, it must be done only in that manner or not at all. He has referred to the decision of the ""Nazir Ahmad vs. The King- Emperor"" 34 and State of ""Uttar Pradesh vs. Singhara Singh"" 35, which follows the Taylor Rule.",,,,,,,
,,,,"103. Dr. Tulzapurkar has submitted that the principles of construction propounded by PPL and Novex are misconceived and not applicable to instant case. He has submitted that the decisions relied upon by them in support of ""harmonious construction"" would 32 [(2001) 7 SCC 358] 33 [(1875) Vol.1Ch.D 426] 34 [1936 LXIII Indian Appeals 372] 35 [(1964) 4 SCR 485] varsha 59 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc require the court to read down Section 33(1) such that ""owners"" are excluded from the word ""persons"". This is contrary to the plain language used in Section 33(1) of the Act. Further, harmonious construction applies only if there is an ambiguity in the language of the statute and cannot be used if the language is clear. In the present case, the language of Section 33(1) is plain and unambiguous. Hence, it would be impermissible to ignore the rule of literal interpretation and apply the rule of ""harmonious construction""

instead.",,,,,,,
,,,,"104. Dr. Tulzapurkar has submitted that Section 33(1) does not take away the general rights of owners to license their works. On the contrary, it retains and preserves that right but only regulates the manner in which the business of licensing is to be carried on. Thus, all that Section 33(1) requires is that if an owner wishes to carry on the business of licensing, he must do it in the legally mandated manner, i.e., through a registered copyright society.",,,,,,,
,,,,"105. Dr. Tulzapurkar has submitted that PPL and Novex have relied upon the decisions in ""Union of India vs. Dileep Kumar Singh""36 to contend that the court must give precedence to the leading provision over the subordinate provision. However, this case too is inapplicable in the present situation. PPL and Novex have been unable to explain how Section 30 is a leading provision and Section 33 is a subordinate provision. On the contrary, the two operate in separate fields altogether.",,,,,,,
,,,,"106. Dr. Tulzapurkar has submitted that PPL and Novex have relied upon decisions in support of their contention that absurd or unintended results of interpretation should be avoided. In the instant case, there is no ambiguity in the language of Section 33(1). There is no absurdity or unintended consequence by adhering to the plain meaning of Section 33(1).",,,,,,,
,,,,"107. Dr. Tulzapurkar has submitted that constant refrain of PPL and Novex was that giving literal interpretation to Section 33(1) would lead to ""effacement"" of Section 30 and take away the right of an owner to monetise his copyright is completely incorrect.",,,,,,,
,,,,"108. Dr. Tulzapurkar has submitted that Section 33 does not take away an owner's right to license for commercial purposes. All that Section 33 postulates is that the business of licensing should be carried out in a regulated manner by registration under the Copyright Act. If an owner wishes to carry on business, he has to either be registered as a copyright society himself or must carry on the activity through a copyright society. Quite contrary to the Plaintiffs' submission, Section 33(1) would be effaced if the Plaintiffs' submissions are accepted. Since only an owner can issue licenses, exclusion of an owner from its purview would render Section 33(1) completely meaningless and redundant.",,,,,,,
,,,,"110. Dr. Tulzapurkar has placed reliance upon the decision of the Supreme Court in ""Dwarka Prasad vs. Dwarkadas Saraf"" 37 wherein it is held that a proviso does not travel beyond the main provision. Further, in ""Delhi Metro Rail Corporation Limited vs. Tarun Pal Singh and Ors"" 38 the Supreme Court went on to explain that a proviso cannot be interpreted as stating a general rule. He has submitted that there is nothing exceptional in the language or scheme of Section 33(1) or the first proviso to suggest that the proviso warrants a deviation from the general rule of interpretation. It cannot therefore be construed as creating an independent right in favour of the Plaintiff beyond the main enacting section.",,,,,,,
,,,,"112. Dr. Tulzapurkar has submitted that the contention of PPL and Novex that copyright societies are ""agencies"" or administrators of rights does not take that case any further. The decision of the Supreme Court's in ""Entertainment Network and Delhi High Court's decision in Lizard Lounge"" (Supra) relied upon by PPL and Novex in this context deal with the question whether business of licensing can be carried out by an owner without registration. Further, Section 33 requires a particular activity, i.e., business of licensing, to be done only by regulated entity/through a regulated entity.",,,,,,,
,,,,"113. Dr. Tulzapurkar has submitted that the contention of PPL and Novex that the authorization granted to a copyright society can be withdrawn by an owner under Section 34(1)(b) would suggest that it is not mandatory for an owner to carry on business only 39 [(2008) 13 SCC 30] varsha 63 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc through a society ought to be rejected. All that Section 34(1)(b) says is that an owner is not perpetually bound to be a member of a copyright society and the section enables him to withdraw from a collective management system should he choose to. This is a voluntary act. Once he withdraws, he is in the same position as any other person who is not a member of a copyright society. He can exercise all rights under Section 14 and also issue a license under Section 30 in an individual capacity. But he cannot carry on the business of licensing. If he wishes to recommence the business of licensing, he has to once again join a registered copyright society.",,,,,,,
,,,,"114. Dr. Tulzapurkar has submitted that argument canvassed by PPL and Novex was that Section 31 provides for compulsory licensing. Thus, there is no need to regulate owners who carry on the business of licensing by requiring them to register as copyright societies is wholly fallacious and an incorrect reading of Section 31. Compulsory licensing is a completely different concept from regulation of the business of licensing carried on by copyright societies. He has submitted that Section 31 (1) (a) does not allow a user to challenge a Tarriff Scheme, whereas under Section 33 A this is allowed to a user. Further under Section 31, compulsory license can only be granted to a person whom the board/court finds ""qualified"" to receive a license. There is no such restriction under Section 33A. A decision for compulsory licensing under Section 31 creates a right in rem only in favour of the complainant/prospective licensee. On the other hand, an appeal under Section 33A results in modification of the Tariff Scheme for the public at large. Merely varsha 64 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc because the Copyright Act provides two remedies for two different scenarios, it cannot mean that one of the remedies available in law should be given a complete go-by to.",,,,,,,
,,,,"118. Dr. Tulzapurkar has submitted that the main section 33(1) and the First Proviso have been in the statute since the 1994 varsha 65 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc Amendments. The Second Proviso was brought in only in 2012. This is relevant because the 2012 Amendment Act also amended Section 18(1) and added provisos therein which prohibited authors of underlying works from assigning or waiving the right to receive royalties except to their legal heirs or copyright societies. Thus, it was necessary to make corresponding clarificatory changes to Section 33(1).",,,,,,,
,,,,"119. Dr. Tulzapurkar has placed reliance upon the decision of the Madras High Court in ""Novex Communications (P) Ltd. Vs DXC Technology (P) Ltd"". (Supra). He has submitted that the Madras High Court extensively considered all issues relating to Section 33 including the arguments raised by the Plaintiffs in the instant matter. He has submitted that the Madras High Court has correctly holds that Section 33 distinguishes between granting licenses in an individual capacity and carrying on the business of licensing. The Court holds that ""once the grant of license moves from the owner in his individual capacity and transcends into the realm of a business ""

Section 33(1) applies. On this basis, the Court concluded that since Novex was statutorily barred from issuing licenses, the very substratum for the relief sought by Novex must crumble like a pack of cards.",,,,,,,
,,,,"120. Dr. Tulzapurkar has submitted that this Court be pleased to answer the aforementioned issue in favour of Defendants and dismiss the Plaintiffs' Interim Applications.
",,,,,,,
,,,,"123. Mr. Narula has submitted that in interpreting any statute, the role of the Court is to give effect to the will of the legislature. Where ambiguities exist, the Courts, no doubt, have the power to take recourse to external and internal aids to construe a provision in line with the intention of the legislature. Having examined the background leading to the Copyright (Amendment) Act, 2012, in view of Section 33(1) and its second proviso, the business of granting or issuing licenses in respect of any work in which copyright subsists, can be undertaken only through a copyright society registered under Section 33(3) of the Act.",,,,,,,
,,,,"124. Mr. Narula has submitted that the second Proviso to Section 33(1) and proviso to Section 33 (3A), being the consequence and effect of the amendments to Section 17, 18 and 19 read with Section 30A, provides that the business of issuing or granting licence (being collection and distribution) of sound recording or cinematograph film, which comprises of the non- assignable and non-waivable rights in literary and musical work ""shall be carried out only through a copyright society duly registered under this Act"".",,,,,,,
,,,,"130. Mr. Shenoy has submitted that Section 33(1) of the Copyright Act provides that no person or association of persons shall ""commence or, carry on the business of issuing or granting licenses"". It is necessary for this Court to give meaning to what is meant by the ""business of issuing or granting licenses"".He has submitted that these words are used by the Legislature to mean the ""Collective Administration of Copyright"". The same is borne out of the varsha 70 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc statement and objects and reasons of the Copyright (Amendment) Act, 1992 as well as Clause 11 of Notes on Clause. Further, the title/ heading of Chapter VII is ""Copyright Societies"".",,,,,,,
,,,,"132. Having considered the submissions, for determining the issue that arises in the above suits viz. whether the plaintiff is entitled to seek reliefs sought for in the plaint without being registered as a copyright society under section 33(1) of the Act, it would be necessary to refer to certain provisions of the Act. In the present case, that PPL and Novex have been partially assigned the copyright under the Sound Recording Agreements i.e. to communicate the sound recordings to the public.",,,,,,,
,,,,"133. Section 14 of the Act defines a copyright to mean the exclusive right to reproduce a literary, dramatic or musical work in any material form including storing by electronic means; to make copies of such a work; to perform it in public and in the case of a sound recording it includes the right to sell or give on commercial rentals or to communicate the sound recording to the public. Further, 'Owner' of Copyright is provided in Chapter IV of the Act. As submitted by Mr. Khambata, Ownership of copyright can be acquired in 4 broad ways including through an assignment under Sections 18 & 19 of the Act which is relevant in the present case. These confer varsha 71 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc full and absolute ownership on the author/owner/assignee, as the case may be.",,,,,,,
,,,,"134. Further Section 18(2) of the Act provides as under :

""where the assignee of a copyright becomes entitled to any right comprised in the copyright, the assignee as respects the rights so assigned, and the assignor as respects the rights not assigned, shall be treated for the purposes of this Act as the owner of copyright and the provisions of this Act shall have effect accordingly"".",,,,,,,
,,,,"135. Whereas Section 18 (1) of the Act specifically recognizes the owner's right to assign his copyright either wholly or partially, to any person. This is a substantive right which has been provided to an owner under the Act and can be exercised without restrictions except as provided in the section.",,,,,,,
,,,,"136. Thus, in my view a partial assignment created as in the present case in favour of PPL and Novex i.e. to communicate sound recording to the public, to the extent of the right so created, the assignee is an 'owner' of the copyright in the work.",,,,,,,
,,,,"137. PPL and Novex as assignees/owners of copyright license their work under section 30 of the Act. This Section falls under Chapter VI of the Act and reads as under:

""30. Licences by owners of copyright.:-The owner of the copyright in any existing work or the prospective owner of the copyright in any future work may grant any interest in the right by licence in writing by him or by his duly authorised agent:
Provided that in the case of a licence relating to copyright in any future work, the licence shall take effect only when the work comes into existence.
Explanation.-- Where a person to whom a licence relating to copyright in any future work is granted under this section dies before the work comes into existence, his legal representatives shall, in the absence of any provision to the contrary in the licence, be entitled to the benefit of the licence"".",,,,,,,
,,,,"138. Thus, Section 30 of the Act is the source, which gives an ""owner"" of a copyright who may be an assignee, the power to grant any interest in the copyright by license. Further, Section 30 also specifically empowers a ""duly authorized agent"" of the varsha 73 of 87 Varsha COMP-264-2022 AND COMP-363-2019 final.doc owner, to grant license. Thus, it follows that PPL and Novex as owners/assignees have the power to grant any interest in the copyright by license which would include the interest of communicating the sound recordings to the public.",,,,,,,
